time,ax,ay,az,atotal
2022-11-15 21:18:36.9630,-0.11,0.14,0.03,0.18
2022-11-15 21:18:36.9640,-0.09,0.18,0.05,0.2
2022-11-15 21:18:36.9820,-0.08,0.18,0.07,0.2
2022-11-15 21:18:37.0080,-0.09,0.17,0.05,0.19
2022-11-15 21:18:37.0090,-0.11,0.16,0.04,0.19
2022-11-15 21:18:37.0280,-0.11,0.12,0.02,0.16
2022-11-15 21:18:37.0290,-0.09,0.07,0.02,0.11
2022-11-15 21:18:37.0450,-0.09,0.05,0.05,0.11
2022-11-15 21:18:37.0460,-0.12,0.02,0.05,0.13
2022-11-15 21:18:37.0610,-0.1,-0.01,0.06,0.11
2022-11-15 21:18:37.0620,-0.13,-0.04,0.05,0.14
2022-11-15 21:18:37.0780,-0.14,-0.07,0.02,0.15
2022-11-15 21:18:37.0790,-0.13,-0.1,0.0,0.16
2022-11-15 21:18:37.1060,-0.11,-0.11,-0.03,0.15
2022-11-15 21:18:37.1070,-0.05,-0.1,-0.06,0.12
2022-11-15 21:18:37.1100,0.01,-0.09,-0.04,0.09
2022-11-15 21:18:37.1290,0.03,-0.07,-0.02,0.07
2022-11-15 21:18:37.1300,0.03,-0.03,-0.02,0.04
2022-11-15 21:18:37.1450,0.02,0.0,0.01,0.02
2022-11-15 21:18:37.1450,0.04,-0.01,0.02,0.04
2022-11-15 21:18:37.1610,0.03,-0.01,0.04,0.05
2022-11-15 21:18:37.1620,-0.01,0.0,0.04,0.04
2022-11-15 21:18:37.1780,0.0,0.01,0.03,0.03
2022-11-15 21:18:37.2060,-0.01,0.03,0.02,0.03
2022-11-15 21:18:37.2070,-0.01,0.03,0.02,0.03
2022-11-15 21:18:37.2070,-0.01,0.02,0.02,0.03
2022-11-15 21:18:37.2110,0.01,0.02,0.03,0.03
2022-11-15 21:18:37.2110,0.05,0.01,0.05,0.07
2022-11-15 21:18:37.2120,0.09,0.0,0.04,0.09
2022-11-15 21:18:37.2290,0.12,-0.01,0.04,0.12
2022-11-15 21:18:37.2290,0.16,-0.02,0.03,0.16
2022-11-15 21:18:37.2440,0.18,-0.05,0.01,0.18
2022-11-15 21:18:37.2450,0.18,-0.08,-0.02,0.19
2022-11-15 21:18:37.2700,0.16,-0.12,-0.03,0.2
2022-11-15 21:18:37.2710,0.14,-0.15,-0.04,0.2
2022-11-15 21:18:37.2770,0.14,-0.17,-0.06,0.22
2022-11-15 21:18:37.2780,0.13,-0.18,-0.08,0.23
2022-11-15 21:18:37.2950,0.13,-0.16,-0.08,0.22
