time,ax,ay,az,atotal
2022-11-20 11:53:31.0860,-0.2,0.2,-0.03,0.28
2022-11-20 11:53:31.1190,0.01,0.08,-0.2,0.21
2022-11-20 11:53:31.1210,0.18,-0.01,-0.24,0.3
2022-11-20 11:53:31.1210,0.29,0.01,-0.29,0.41
2022-11-20 11:53:31.1240,0.3,0.08,-0.33,0.45
2022-11-20 11:53:31.1430,0.28,0.06,-0.27,0.39
2022-11-20 11:53:31.1440,0.26,-0.01,-0.12,0.28
2022-11-20 11:53:31.1590,0.08,-0.02,-0.08,0.11
2022-11-20 11:53:31.1640,-0.05,0.01,0.02,0.05
2022-11-20 11:53:31.1740,-0.07,0.04,0.1,0.12
2022-11-20 11:53:31.1840,-0.04,0.02,0.14,0.14
2022-11-20 11:53:31.2200,-0.03,-0.02,0.08,0.08
2022-11-20 11:53:31.2210,-0.02,-0.01,-0.04,0.04
2022-11-20 11:53:31.2220,0.03,0.03,-0.05,0.06
2022-11-20 11:53:31.2250,0.09,0.04,-0.08,0.12
2022-11-20 11:53:31.2340,0.11,0.04,-0.08,0.14
2022-11-20 11:53:31.2440,0.1,0.03,-0.12,0.15
2022-11-20 11:53:31.2540,0.09,0.01,-0.17,0.19
2022-11-20 11:53:31.2630,0.06,0.01,-0.1,0.11
2022-11-20 11:53:31.2740,-0.02,0.0,-0.06,0.06
2022-11-20 11:53:31.2830,-0.08,0.05,0.01,0.09
2022-11-20 11:53:31.3190,-0.06,0.07,-0.02,0.09
2022-11-20 11:53:31.3220,0.04,0.04,-0.11,0.12
2022-11-20 11:53:31.3230,0.1,0.0,-0.05,0.11
2022-11-20 11:53:31.3250,0.09,-0.02,-0.01,0.09
2022-11-20 11:53:31.3330,0.06,0.01,0.02,0.06
2022-11-20 11:53:31.3430,0.07,0.03,0.02,0.07
2022-11-20 11:53:31.3530,0.04,-0.01,-0.04,0.05
2022-11-20 11:53:31.3630,-0.06,-0.04,-0.08,0.1
2022-11-20 11:53:31.3730,-0.2,-0.05,-0.07,0.21
2022-11-20 11:53:31.3830,-0.27,-0.02,-0.05,0.27
2022-11-20 11:53:31.4190,-0.12,0.04,-0.03,0.13
2022-11-20 11:53:31.4210,0.07,0.07,-0.09,0.13
2022-11-20 11:53:31.4220,0.21,0.05,-0.14,0.25
2022-11-20 11:53:31.4250,0.33,0.04,-0.15,0.36
2022-11-20 11:53:31.4320,0.4,0.04,-0.12,0.41
2022-11-20 11:53:31.4420,0.4,-0.01,-0.06,0.4
2022-11-20 11:53:31.4520,0.23,-0.03,-0.08,0.24
2022-11-20 11:53:31.4620,0.0,-0.01,-0.06,0.06
2022-11-20 11:53:31.4720,-0.14,0.04,-0.03,0.14
2022-11-20 11:53:31.4820,-0.2,0.01,0.05,0.2
2022-11-20 11:53:31.4920,-0.21,-0.04,0.1,0.23
2022-11-20 11:53:31.5230,-0.16,-0.03,0.14,0.21
2022-11-20 11:53:31.5240,-0.03,0.01,0.15,0.15
2022-11-20 11:53:31.5250,0.09,0.03,0.04,0.1
2022-11-20 11:53:31.5440,0.19,0.05,-0.1,0.22
2022-11-20 11:53:31.5450,0.2,0.06,-0.19,0.28
2022-11-20 11:53:31.5580,0.15,0.04,-0.2,0.25
2022-11-20 11:53:31.5610,0.07,-0.03,-0.15,0.16
2022-11-20 11:53:31.5740,0.01,-0.05,-0.16,0.16
2022-11-20 11:53:31.5810,0.05,0.02,-0.19,0.19
2022-11-20 11:53:31.5910,0.12,0.05,-0.17,0.21
2022-11-20 11:53:31.6230,0.1,0.03,-0.19,0.21
2022-11-20 11:53:31.6250,0.0,0.01,-0.13,0.13
2022-11-20 11:53:31.6260,0.01,0.01,-0.04,0.04
2022-11-20 11:53:31.6430,0.1,0.03,-0.04,0.11
